Approved,Gender,Income,CreditScore,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,Debt,DriversLicense,Age,Citizen
0,1,0,0,0,0.153846,1,8.500,1,0,5.000,0,28.46,0
0,1,100,0,0,0.307692,0.25,9.460,1,0,1.375,1,52.33,0
0,1,225,0,0,0.307692,1,1.500,1,0,1.500,1,28.75,0
0,0,0,0,1,0.0769231,0,0.500,1,0,3.540,1,28.58,0
0,1,1,0,0,0.153846,1,0.125,1,0,0.625,0,23.00,0
0,1,0,0,1,0.307692,0,0.835,1,0,0.500,1,28.46,1
0,0,0,0,0,0.692308,1,3.000,1,0,11.000,1,22.50,0
0,0,500,2,1,0.692308,1,1.000,1,1,1.000,1,28.50,0
0,1,400,0,0,0.307692,0,0.250,1,0,1.750,1,37.50,0
0,1,38,2,1,0.692308,1,0.375,1,1,5.000,0,18.67,0
0,1,5,2,1,0.384615,1,2.250,1,1,12.000,1,25.00,0
0,1,0,2,0,0.0769231,0.25,5.750,1,1,4.000,1,27.83,0
0,1,130,20,1,0.230769,0.75,0.000,1,1,15.500,0,54.83,0
0,1,0,0,1,0.384615,1,0.500,1,0,1.165,0,28.75,1
0,0,0,0,0,0.153846,1,4.500,1,0,11.000,0,25.00,0
0,1,0,0,0,1,0.25,10.000,1,0,2.250,1,40.92,0
0,0,5,5,1,0.307692,1,0.795,1,1,0.750,1,19.75,0
0,1,0,3,1,0.538462,1,3.500,1,1,3.500,1,29.17,0
0,0,147,3,0,0.461538,0.5,0.500,1,1,1.040,0,24.50,0
0,1,0,0,1,0.538462,1,0.875,1,0,12.500,1,24.58,0
0,0,0,3,1,0.384615,0,1.000,1,1,0.750,1,33.75,0
0,1,210,3,0,0.307692,0.25,1.375,1,1,1.250,1,20.67,0
0,0,0,2,1,0.692308,1,1.290,1,1,1.125,0,25.42,0
0,1,5,7,1,0.692308,0.25,11.500,1,1,7.000,1,37.75,0
1,1,1332,6,1,0,1,14.000,1,1,7.040,1,57.83,0
1,0,50,1,1,0.615385,0.25,0.335,1,1,10.335,1,20.75,0
1,1,300,1,1,0.692308,1,0.040,1,1,6.210,0,39.92,0
1,0,567,12,1,0.153846,1,1.500,1,1,12.500,1,24.75,0
1,0,0,3,1,0.692308,1,7.375,1,1,6.665,1,44.17,0
1,1,1000,6,1,1,0.25,7.500,1,1,5.000,1,34.92,0
1,1,2510,12,1,0,0,2.500,1,1,2.500,1,47.67,0
1,1,809,7,1,0.692308,1,2.500,1,1,11.000,1,22.75,0
1,1,610,2,1,0.0769231,0,3.250,1,1,4.250,0,34.42,0
1,0,0,0,1,0.538462,1,0.835,1,0,3.500,0,28.42,1
1,1,0,1,1,0.230769,0.75,13.000,1,1,5.500,1,67.75,0
1,1,150,1,1,0.307692,1,2.250,1,1,1.835,0,20.42,0
1,1,367,6,1,0.307692,0,2.500,1,1,5.000,0,36.25,0
1,1,1000,12,1,0.692308,0.25,5.500,1,1,5.500,1,32.67,0
1,1,0,0,1,0.692308,0.25,6.000,1,0,6.500,1,48.58,0
1,1,1000,3,0,0.153846,1,0.500,1,1,0.540,0,39.92,0
1,1,0,6,1,0,1,4.250,1,1,2.750,0,33.58,0
1,0,600,6,1,0.538462,1,1.625,1,1,9.500,1,18.83,0
1,0,5000,2,1,0.692308,0.25,5.000,1,1,13.500,0,26.92,0
1,0,247,15,1,0.846154,0.5,0.000,1,1,16.000,0,56.50,0
1,1,375,8,0,0.615385,0.25,1.750,1,1,0.290,0,43.00,0
1,1,278,1,1,0.538462,1,2.000,1,1,11.000,0,22.33,0
1,1,827,9,1,0.615385,0.25,5.085,1,1,1.665,0,27.25,0
1,1,2072,6,1,0.615385,0.25,2.750,1,1,2.500,0,32.83,0
1,1,582,3,1,0.692308,1,2.375,1,1,1.500,1,23.25,0
1,0,2300,14,0,0.692308,0.25,8.000,1,1,7.540,0,40.33,0
1,0,3065,7,1,0.307692,0,4.000,1,1,6.500,1,30.50,0
1,0,2200,14,1,0.307692,1,5.500,1,1,15.000,0,52.83,0
1,0,1602,14,1,0.692308,1,4.000,1,1,10.000,0,58.33,0
1,1,0,12,1,0,0.25,4.250,1,1,6.500,1,37.33,0
1,1,2184,11,1,0.307692,1,1.085,1,1,2.500,1,23.08,0
1,1,0,3,1,0.615385,0.25,5.500,1,1,1.500,1,32.75,0
1,0,0,1,0,1,0.25,2.540,1,1,3.040,0,28.50,0
1,0,3376,14,1,0.230769,0.75,0.000,1,1,15.000,0,68.67,0
1,1,0,2,1,0.384615,0.25,4.165,1,1,2.000,1,28.00,0
1,1,2000,1,0,0,0,0.040,1,1,0.080,1,34.08,0
1,1,20,1,1,1,1,1.665,1,1,1.710,1,25.08,0
1,1,0,0,0,0.230769,0.25,0.040,1,0,1.750,1,32.00,0
1,0,837,0,1,0.692308,0.25,1.750,1,0,10.000,0,40.83,0
1,1,400,0,1,0.692308,1,1.000,1,0,9.500,1,19.33,0
1,1,639,0,1,0.692308,0.25,9.000,1,0,3.250,1,36.67,0
1,1,0,0,0,0.769231,1,1.500,0,0,1.125,1,37.50,0
1,0,0,0,0,0.153846,1,0.250,1,0,2.540,1,25.08,0
1,1,2028,0,1,0.384615,0.25,8.000,1,0,12.500,1,56.00,0
1,0,0,0,1,0.384615,0.25,8.500,1,0,13.585,1,49.83,0
1,1,0,0,1,0.692308,0.25,1.335,1,0,10.500,0,22.67,0
1,1,1065,0,0,0.538462,1,0.375,1,0,1.500,1,27.00,0
1,1,0,0,1,0.153846,1,3.000,1,0,12.500,1,25.00,1
1,0,150,0,1,0.153846,1,1.415,1,0,8.665,0,26.08,0
1,0,540,4,1,0.692308,1,1.210,1,1,9.250,0,18.42,0
1,1,158,14,1,0.153846,1,1.960,1,1,8.170,0,20.17,0
1,0,6,3,1,0.692308,1,0.165,1,1,3.000,0,20.67,0
1,0,3000,7,1,0.307692,1,5.500,1,1,19.500,0,57.08,0
1,0,3257,7,1,0.692308,1,2.585,1,1,5.665,0,22.42,0
1,1,1655,9,1,0.307692,0.25,12.500,1,1,8.500,0,48.75,0
1,1,500,1,1,0.153846,0,3.500,1,1,6.500,0,40.00,0
1,1,3065,7,1,0.307692,1,5.000,1,1,5.000,0,40.58,0
1,0,1430,5,1,0.307692,1,2.500,1,1,1.040,1,28.67,0
1,0,0,2,1,0.692308,0.25,1.625,1,1,4.625,0,33.08,0
1,1,0,0,1,0.307692,1,3.000,1,0,10.500,1,21.33,0
1,1,0,0,1,0.0769231,0.25,5.125,1,0,0.205,0,42.00,0
1,1,600,0,1,1,1,2.500,1,0,0.960,0,41.75,0
1,1,0,7,0,0.0769231,0,8.500,1,1,4.040,1,34.50,0
1,1,0,3,0,1,1,3.165,1,1,3.165,1,33.17,0
1,1,790,12,1,0.538462,0.25,15.500,1,1,7.625,0,48.17,0
1,1,560,3,0,0.153846,1,2.000,1,1,2.040,1,27.58,0
1,1,396,9,1,1,1,0.040,1,1,10.040,0,22.58,0
1,0,678,1,1,0.692308,0.25,1.250,1,1,0.500,0,24.08,0
1,0,300,0,1,0.0769231,0,2.250,1,0,1.000,1,41.33,0
1,1,600,6,1,0.307692,1,2.250,1,1,2.750,0,24.83,0
1,0,0,2,1,0.692308,1,0.710,1,1,10.250,1,20.75,0
1,1,1187,1,0,0.538462,1,0.085,1,1,2.125,0,36.33,0
1,0,6590,8,1,0.692308,0.25,14.000,1,1,12.000,0,35.42,0
1,1,168,6,1,0.692308,0.25,5.665,1,1,9.335,0,28.67,0
1,1,1270,7,1,0.384615,1,4.500,1,1,2.500,0,35.17,0
1,1,1210,16,1,0.307692,0,6.500,1,1,4.250,0,39.50,0
1,1,0,14,1,0.615385,0.25,10.000,1,1,5.875,1,39.33,0
1,1,0,0,0,0.769231,1,5.500,1,0,6.625,1,24.33,1
1,1,1000,15,1,0.461538,0.5,18.000,1,1,14.500,1,60.08,0
1,1,742,9,1,0.0769231,1,3.500,1,1,11.500,0,23.08,0
1,1,0,1,0,0.615385,1,5.250,1,1,2.710,0,26.67,0
1,1,0,0,1,0.153846,1,3.500,1,0,3.500,0,48.17,1
1,1,0,8,1,0.615385,0.25,7.000,1,1,4.040,0,41.17,0
1,1,0,5,1,0.230769,1,8.665,1,1,9.625,0,53.92,0
1,0,500,4,0,0.307692,1,1.000,1,1,9.250,1,18.92,0
1,0,0,3,1,0.153846,1,2.290,1,1,12.540,1,50.08,0
1,0,0,0,1,0.153846,1,1.375,1,0,9.000,1,17.58,0
1,0,0,0,1,0.153846,1,0.085,1,0,9.540,0,18.83,0
1,0,0,0,1,0.692308,1,0.125,1,0,5.500,1,37.75,0
1,1,0,0,1,0.307692,0,0.250,1,0,4.000,1,23.25,0
1,1,0,0,1,0.384615,1,0.500,1,0,5.500,0,18.08,0
1,0,0,0,0,1,1,2.460,0,0,8.460,0,22.50,0
1,1,0,2,1,0.692308,1,2.000,1,1,0.375,1,19.67,0
1,1,0,0,1,0.615385,1,0.665,1,0,11.000,0,22.08,0
1,1,7059,7,1,0.615385,1,0.625,1,1,3.500,0,25.17,0
1,0,1704,2,1,1,1,13.875,1,1,3.000,1,47.42,0
1,1,857,4,1,1,0.25,4.500,1,1,1.750,1,33.50,0
1,1,500,0,1,0.538462,1,5.750,1,0,13.750,1,27.67,0
1,0,6700,13,1,0.0769231,0,10.000,1,1,21.000,0,58.42,0
1,0,2503,5,1,0.692308,1,2.085,1,1,1.835,0,20.67,0
1,1,0,0,1,0.0769231,0,0.000,1,0,0.250,1,26.17,0
1,1,0,0,1,0.692308,1,4.580,1,0,4.625,0,42.83,1
1,1,196,6,1,1,1,2.500,1,1,10.125,0,38.17,0
1,1,0,0,0,0.307692,1,2.500,1,0,10.000,0,20.50,1
1,1,0,0,1,0.538462,1,11.000,1,0,5.000,1,28.33,0
1,1,300,2,1,0.0769231,1,1.500,1,1,2.000,0,18.50,0
1,1,2000,1,1,0.615385,0.25,14.000,1,1,8.500,1,45.00,0
1,0,99,11,1,0.692308,0.25,0.290,1,1,0.210,0,19.67,0
1,1,444,2,1,0.307692,0,4.750,1,1,12.750,0,24.50,0
1,1,1200,11,1,0.230769,0.75,20.000,1,1,21.500,0,40.25,0
1,1,0,6,1,0.692308,0.25,5.000,1,1,5.000,1,41.42,0
1,0,3000,11,1,1,0.25,1.000,1,1,11.000,0,17.83,0
1,1,0,1,1,1,0.25,0.460,1,1,11.125,0,23.17,0
0,1,2010,0,1,0.384615,1,0.250,0,0,0.625,0,28.46,0
0,1,13,0,1,0.307692,0.25,1.085,0,0,10.250,0,18.17,0
0,1,0,0,1,0.307692,1,2.000,0,0,11.045,1,20.00,0
0,1,0,0,1,0.769231,1,0.500,0,0,0.000,0,20.00,0
0,0,1000,0,1,0.0769231,1,0.040,0,0,9.540,0,20.75,0
0,0,0,0,0,0.307692,1,0.165,0,0,1.750,0,24.50,0
0,1,0,0,1,0.769231,0.25,5.750,0,0,2.335,1,32.75,0
0,0,0,0,0,0.461538,0.5,0.000,0,0,0.000,0,52.17,0
0,0,120,0,1,0.0769231,0.75,0.335,0,0,1.335,0,48.17,0
0,0,32,0,0,1,0.25,0.000,0,0,10.500,1,20.42,0
0,1,0,0,1,0.461538,0.5,0.000,0,0,0.585,0,50.75,0
0,1,722,0,0,0.307692,1,0.040,0,0,0.085,0,17.08,0
0,1,0,0,0,0.230769,0.75,0.000,0,0,1.210,0,18.33,0
0,0,0,0,1,0.769231,1,1.250,0,0,6.000,0,32.00,0
1,1,0,0,1,0.692308,1,0.125,1,0,1.540,1,59.67,0
1,1,40,0,1,0.692308,0.75,0.210,0,0,0.165,0,18.00,0
1,1,0,0,1,0.307692,1,0.000,0,0,0.000,0,37.58,2
0,1,0,0,1,0.307692,1,1.250,0,0,2.500,1,32.33,0
0,1,0,0,0,0,1,0.040,0,0,6.750,0,18.08,0
0,1,0,0,0,0.384615,1,0.125,0,0,10.125,0,38.25,0
0,1,0,0,1,0.615385,0.25,2.250,0,0,2.500,1,30.67,1
0,1,0,0,1,0.769231,1,0.540,0,0,5.710,0,18.58,0
0,0,484,0,1,0.0769231,0.25,0.290,0,0,5.415,0,19.17,0
0,0,0,0,0,0.692308,0.25,0.165,0,0,10.000,0,18.17,0
0,1,0,0,0,0.461538,0.5,0.000,0,0,13.500,0,24.58,0
0,1,0,0,1,0,1,0.085,1,0,0.835,0,16.25,1
0,1,204,0,0,0.307692,0.25,0.250,0,0,0.875,0,21.17,0
0,1,1,0,0,0.615385,0.25,0.125,0,0,0.585,0,23.92,0
0,1,0,0,1,0.307692,1,0.250,0,0,4.460,0,17.67,1
0,0,98,1,1,0.692308,1,0.250,0,1,1.250,0,16.50,0
0,1,5552,2,1,0.307692,1,0.125,0,1,12.625,0,23.25,0
0,1,1,1,1,0.538462,0.25,0.165,0,1,10.000,0,17.58,0
0,0,105,2,1,0.461538,0.5,0.000,0,1,1.500,1,28.46,0
0,1,2803,1,1,0.538462,1,0.290,0,1,0.580,0,29.50,0
0,1,1,1,0,0.307692,1,0.165,0,1,0.415,0,18.83,0
0,0,0,0,0,0.846154,0.75,0.000,0,0,1.750,0,21.75,0
0,1,0,0,1,0,1,0.500,0,0,0.750,1,23.00,1
0,0,1,1,1,0.538462,1,1.000,0,1,10.000,0,18.25,0
0,1,444,1,1,0.538462,1,0.165,0,1,0.540,0,25.42,0
0,1,1,2,1,0.538462,1,0.125,0,1,2.415,0,35.75,0
0,0,126,1,1,0.461538,0.5,0.000,0,1,0.335,0,16.08,0
0,0,4,2,1,0.461538,0.5,3.040,0,1,3.125,1,31.92,0
0,1,6,1,1,0.461538,0.5,4.000,0,1,9.000,0,69.17,0
0,1,0,2,1,0.153846,1,1.750,0,1,2.500,1,32.92,0
0,1,21,1,1,0.153846,1,0.665,0,1,2.750,0,16.33,0
0,1,173,2,1,0.307692,1,3.335,0,1,12.125,1,22.17,0
0,0,10,1,1,0.461538,0.5,6.500,0,1,2.000,0,57.58,0
0,1,0,0,1,0.769231,1,0.250,0,0,0.165,1,18.25,1
0,1,0,0,1,0.307692,1,0.500,0,0,1.000,1,23.42,1
0,0,0,0,1,0.692308,1,0.085,0,0,2.875,0,15.92,0
0,0,1,0,1,0.692308,0.25,1.500,0,0,13.665,0,24.75,0
0,1,25,0,1,0.461538,0.5,4.500,0,0,2.750,0,23.50,0
0,1,0,0,1,0.461538,0.5,0.415,0,0,10.290,0,18.58,0
0,1,0,0,1,0.384615,0.25,0.250,0,0,1.290,1,27.75,1
0,0,20,0,0,0.846154,0.75,0.000,0,0,3.000,0,31.75,0
0,1,6,0,0,0.307692,1,2.335,0,0,1.750,1,19.00,0
0,0,1,0,1,0.153846,1,0.125,0,0,0.210,0,16.33,0
0,0,42,0,1,0.769231,1,0.415,0,0,10.000,0,18.58,0
0,1,0,0,0,0.153846,1,0.250,0,0,0.000,0,16.25,0
0,1,0,0,1,0,1,0.500,1,0,0.750,1,23.00,1
0,1,204,0,0,0.307692,0.25,0.250,0,0,0.250,0,21.17,0
1,1,1,0,0,0,0,0.000,0,0,0.000,1,19.17,1
1,1,113,0,0,0.307692,1,1.500,0,0,0.125,1,36.75,0
1,1,8,0,1,0.538462,1,1.500,0,0,1.500,0,21.25,0
1,0,44,0,1,0.615385,1,0.375,0,0,0.375,0,33.67,0
1,1,2732,11,0,0.384615,1,0.250,1,1,0.205,0,48.58,0
0,1,0,0,1,0.538462,1,1.165,0,0,1.250,0,33.67,0
0,0,13,0,0,1,1,1.000,0,0,1.085,0,29.50,0
0,1,179,0,0,0.307692,1,0.040,0,0,1.085,0,30.17,0
0,1,0,0,1,0.0769231,0,0.500,0,0,3.500,0,40.83,1
0,1,0,0,0,0.538462,1,3.000,0,0,2.500,0,34.83,1
0,1,0,0,0,0.0769231,1,0.085,0,0,4.000,1,28.46,0
0,1,0,0,1,0.307692,1,0.000,0,0,0.000,0,20.42,2
0,0,2,0,0,0.307692,1,2.500,0,0,2.500,1,33.25,0
0,1,16,0,1,0.307692,1,1.000,0,0,2.500,0,34.08,0
0,0,1062,0,1,0.769231,1,1.000,0,0,12.500,1,25.25,0
0,1,0,0,1,0.615385,0,0.500,0,0,2.500,0,34.75,0
0,1,251,0,1,0.692308,0.25,0.165,0,0,0.750,1,27.67,0
0,1,228,0,1,0.307692,1,1.000,0,0,6.500,1,47.33,0
0,0,0,0,0,0.0769231,0.25,0.500,0,0,1.250,1,34.83,0
0,0,0,0,0,0.153846,1,2.000,0,0,3.000,0,33.25,0
0,1,67,0,1,0.538462,1,0.750,0,0,3.000,1,28.00,0
0,0,0,0,1,0.307692,1,3.000,0,0,4.000,0,39.08,0
0,1,100,0,1,0.153846,1,0.040,0,0,4.085,0,42.75,0
0,1,4000,0,1,0.0769231,0,0.500,0,0,2.250,1,26.92,0
0,1,0,0,1,0.0769231,0,0.000,0,0,2.750,0,33.75,0
0,1,2,0,1,0.384615,1,0.500,0,0,1.750,1,38.92,0
0,1,122,0,1,0.307692,1,0.250,0,0,1.500,1,32.25,0
0,1,1210,0,0,0.307692,0,2.500,0,0,4.500,0,26.75,0
0,1,0,3,1,0.307692,1,0.585,1,1,0.540,1,63.33,0
0,1,3,1,1,0.538462,1,2.250,0,1,1.500,1,27.83,0
0,0,1,0,1,0.846154,0.75,0.000,0,0,2.000,1,26.17,0
0,1,0,0,0,0.461538,0.5,0.000,0,0,0.585,0,22.17,0
0,1,4000,0,0,0,1,1.500,0,0,11.500,1,22.50,0
0,1,0,0,1,0.769231,1,0.585,0,0,1.585,1,30.75,1
0,1,0,0,1,0.0769231,1,0.250,0,0,2.000,1,36.67,0
0,0,1,2,1,0.153846,1,1.000,0,1,0.165,1,16.00,0
0,1,0,0,1,0.769231,1,0.165,0,0,1.335,0,41.17,0
0,0,0,0,1,0.692308,1,0.040,0,0,0.165,1,19.50,0
0,1,0,0,1,0.769231,1,0.165,0,0,3.000,1,32.42,0
0,0,0,0,1,0.461538,0.5,0.000,0,0,4.710,0,36.75,0
0,0,0,0,1,0.384615,1,5.500,0,0,5.500,1,30.25,1
0,1,4208,0,1,0.461538,0.5,0.085,0,0,2.500,1,23.08,0
0,1,0,0,1,0.384615,0.5,0.000,0,0,0.540,0,26.83,0
0,1,0,0,0,0.384615,1,0.290,0,0,0.335,0,16.92,1
0,1,1300,2,1,0.230769,0.75,0.165,0,1,2.000,0,24.42,0
0,1,112,1,1,0,1,13.875,0,1,1.250,1,42.83,0
0,0,1000,0,1,0.153846,1,0.165,0,0,6.165,0,22.75,0
0,1,0,0,0,0,1,0.165,0,0,1.710,0,39.42,1
0,0,16,0,0,0.384615,0.25,3.000,0,0,11.500,1,23.58,0
0,1,2,0,0,0.923077,0.75,0.750,0,0,0.750,1,21.42,0
0,1,0,0,0,0.538462,1,7.000,0,0,2.500,1,33.00,0
0,1,1110,0,1,0.230769,0.75,0.000,0,0,13.000,1,26.33,0
0,0,0,0,1,0.384615,0.25,1.000,0,0,4.585,1,45.00,1
0,1,0,0,1,0.538462,1,0.125,0,0,1.540,0,26.25,0
0,1,1004,0,1,0.153846,1,0.040,0,0,0.585,0,28.17,0
0,0,0,0,0,0.230769,0.75,1.000,0,0,0.500,0,20.83,0
0,1,286,0,1,0.769231,1,0.125,0,0,14.500,0,28.67,0
0,1,0,0,0,0.307692,1,2.000,0,0,0.835,1,20.67,1
0,1,4500,0,1,0.0769231,0,0.125,0,0,1.335,1,34.42,0
0,1,0,0,1,0.0769231,0,4.000,0,0,0.250,1,33.58,1
0,1,0,0,1,0.0769231,0,2.250,0,0,5.000,1,43.17,0
0,0,0,0,1,0.307692,1,0.165,0,0,7.000,0,22.67,0
0,0,456,0,0,0.0769231,0,4.500,0,0,2.500,0,24.33,0
0,0,4,0,0,0.461538,0.5,5.000,0,0,4.250,1,56.83,0
0,1,1212,0,1,0.384615,1,1.585,0,0,11.460,1,22.08,0
0,1,0,0,0,0.307692,1,1.500,0,0,5.500,1,34.00,0
0,1,67,0,0,0.153846,1,0.540,0,0,1.500,1,22.58,0
0,1,0,0,1,0.307692,1,0.500,0,0,0.000,1,21.17,1
0,1,0,0,1,0.0769231,0,0.000,0,0,14.585,1,26.67,0
0,1,0,0,1,0,1,0.085,0,0,0.170,0,22.92,1
0,1,0,0,1,0.230769,1,1.000,0,0,7.000,0,15.17,0
0,1,0,0,1,0.0769231,0,0.210,0,0,5.000,0,39.92,0
0,1,0,0,1,0.153846,0,0.250,0,0,12.500,1,27.42,0
0,1,1,0,1,0,1,1.000,0,0,0.540,1,24.75,0
0,1,195,0,0,0.538462,1,0.250,0,0,1.250,0,41.17,0
0,0,0,0,1,0.769231,1,0.540,0,0,1.625,1,33.08,0
0,1,1,0,0,1,0.25,0.040,0,0,2.040,0,29.83,0
0,0,87,0,0,0.461538,0.5,0.125,0,0,0.585,0,23.58,0
0,1,17,0,0,0.384615,0.25,1.250,0,0,12.500,1,26.17,0
0,1,0,0,1,0.307692,1,0.085,0,0,2.085,0,31.00,0
0,1,184,0,0,0.846154,1,0.290,0,0,5.085,0,20.75,0
0,1,140,0,1,0.307692,1,0.290,0,0,0.375,0,28.92,0
0,0,0,0,1,0.0769231,0,3.085,0,0,6.500,1,51.92,0
0,0,0,0,1,0.692308,1,0.750,0,0,0.335,0,22.67,1
0,1,0,0,0,0.0769231,0,1.085,0,0,5.085,1,34.00,0
0,0,0,0,1,0.461538,0.5,0.000,0,0,6.000,0,69.50,1
0,0,2,1,0,0.307692,1,1.000,0,1,0.665,0,19.58,0
0,1,6,1,1,0.538462,1,0.085,0,1,3.125,0,16.00,0
